Postcode,year,total_fleet,bev_count,adoption_rate,SA2_CODE21,SA2_NAME21,STE_NAME21
0838,2025,848,3.0,0.003537735849056604,701031035,Weddell,Northern Territory
0839,2021,358,0.0,0.0,701031034,Virginia,Northern Territory
0839,2022,373,0.0,0.0,701031034,Virginia,Northern Territory
0839,2023,371,0.0,0.0,701031034,Virginia,Northern Territory
0839,2024,347,0.0,0.0,701031034,Virginia,Northern Territory
0839,2025,357,3.0,0.008403361344537815,701031034,Virginia,Northern Territory
0840,2021,422,0.0,0.0,702031057,Alligator,Northern Territory
0840,2022,430,0.0,0.0,702031057,Alligator,Northern Territory
0840,2023,447,0.0,0.0,702031057,Alligator,Northern Territory
0840,2024,452,0.0,0.0,702031057,Alligator,Northern Territory
0840,2025,462,0.0,0.0,702031057,Alligator,Northern Territory
0841,2021,596,0.0,0.0,701031035,Weddell,Northern Territory
0841,2022,624,0.0,0.0,701031035,Weddell,Northern Territory
0841,2023,639,0.0,0.0,701031035,Weddell,Northern Territory
0841,2024,662,0.0,0.0,701031035,Weddell,Northern Territory
0841,2025,641,3.0,0.0046801872074883,701031035,Weddell,Northern Territory
0845,2021,432,0.0,0.0,702031057,Alligator,Northern Territory
0845,2022,392,0.0,0.0,702031057,Alligator,Northern Territory
0845,2023,385,0.0,0.0,702031057,Alligator,Northern Territory
0845,2024,375,0.0,0.0,702031057,Alligator,Northern Territory
0845,2025,372,0.0,0.0,702031057,Alligator,Northern Territory
0846,2021,300,0.0,0.0,702031057,Alligator,Northern Territory
0846,2022,296,0.0,0.0,702031057,Alligator,Northern Territory
0846,2023,309,0.0,0.0,702031057,Alligator,Northern Territory
0846,2024,282,0.0,0.0,702031057,Alligator,Northern Territory
0846,2025,293,0.0,0.0,702031057,Alligator,Northern Territory
0847,2021,211,0.0,0.0,702031058,Daly,Northern Territory
0847,2022,210,0.0,0.0,702031058,Daly,Northern Territory
0847,2023,202,0.0,0.0,702031058,Daly,Northern Territory
0847,2024,196,0.0,0.0,702031058,Daly,Northern Territory
0847,2025,192,0.0,0.0,702031058,Daly,Northern Territory
0850,2021,6277,0.0,0.0,702051067,Katherine,Northern Territory
0850,2022,6228,0.0,0.0,702051067,Katherine,Northern Territory
0850,2023,6093,0.0,0.0,702051067,Katherine,Northern Territory
0850,2024,6088,0.0,0.0,702051067,Katherine,Northern Territory
0850,2025,6060,8.0,0.0013201320132013201,702051067,Katherine,Northern Territory
0852,2021,1449,0.0,0.0,702021055,Barkly,Northern Territory
0852,2022,1288,0.0,0.0,702021055,Barkly,Northern Territory
0852,2023,1318,0.0,0.0,702021055,Barkly,Northern Territory
0852,2024,1343,0.0,0.0,702021055,Barkly,Northern Territory
0852,2025,1417,0.0,0.0,702021055,Barkly,Northern Territory
0853,2021,546,0.0,0.0,702051067,Katherine,Northern Territory
0853,2022,539,0.0,0.0,702051067,Katherine,Northern Territory
0853,2023,568,0.0,0.0,702051067,Katherine,Northern Territory
0853,2024,578,0.0,0.0,702051067,Katherine,Northern Territory
0853,2025,580,3.0,0.005172413793103448,702051067,Katherine,Northern Territory
0854,2021,377,0.0,0.0,702051066,Gulf,Northern Territory
0854,2022,359,0.0,0.0,702051066,Gulf,Northern Territory
0854,2023,354,0.0,0.0,702051066,Gulf,Northern Territory
0854,2024,376,0.0,0.0,702051066,Gulf,Northern Territory
0854,2025,353,0.0,0.0,702051066,Gulf,Northern Territory
0860,2021,1655,0.0,0.0,702021056,Tennant Creek,Northern Territory
0860,2022,1568,0.0,0.0,702021056,Tennant Creek,Northern Territory
0860,2023,1487,0.0,0.0,702021056,Tennant Creek,Northern Territory
0860,2024,1509,0.0,0.0,702021056,Tennant Creek,Northern Territory
0860,2025,1452,0.0,0.0,702021056,Tennant Creek,Northern Territory
0862,2021,374,0.0,0.0,702021055,Barkly,Northern Territory
0862,2022,332,0.0,0.0,702021055,Barkly,Northern Territory
0862,2023,335,0.0,0.0,702021055,Barkly,Northern Territory
0862,2024,299,0.0,0.0,702021055,Barkly,Northern Territory
0862,2025,302,0.0,0.0,702021055,Barkly,Northern Territory
0870,2021,15875,12.0,0.0007559055118110237,702011047,Flynn (NT),Northern Territory
0870,2022,15731,16.0,0.001017099993643125,702011047,Flynn (NT),Northern Territory
0870,2023,15554,21.0,0.0013501350135013501,702011047,Flynn (NT),Northern Territory
0870,2024,15366,44.0,0.0028634647923988024,702011047,Flynn (NT),Northern Territory
0870,2025,15434,68.0,0.004405857198393158,702011047,Flynn (NT),Northern Territory
0872,2021,2170,0.0,0.0,702011053,Tanami,Northern Territory
0872,2022,1908,0.0,0.0,702011053,Tanami,Northern Territory
0872,2023,1890,0.0,0.0,702011053,Tanami,Northern Territory
0872,2024,1903,0.0,0.0,702011053,Tanami,Northern Territory
0872,2025,1883,0.0,0.0,702011053,Tanami,Northern Territory
0873,2021,1373,3.0,0.0021849963583394027,702011051,Ross,Northern Territory
0873,2022,1328,3.0,0.002259036144578313,702011051,Ross,Northern Territory
0873,2023,1340,3.0,0.002238805970149254,702011051,Ross,Northern Territory
0873,2024,1453,3.0,0.0020646937370956643,702011051,Ross,Northern Territory
0873,2025,1491,5.0,0.00335345405767941,702011051,Ross,Northern Territory
0874,2021,305,0.0,0.0,702011045,Charles,Northern Territory
0874,2022,306,0.0,0.0,702011045,Charles,Northern Territory
0874,2023,271,0.0,0.0,702011045,Charles,Northern Territory
0874,2024,303,3.0,0.009900990099009901,702011045,Charles,Northern Territory
