Postcode,year,total_fleet,bev_count,adoption_rate,SA2_CODE21,SA2_NAME21,STE_NAME21,SA3_NAME21,SA4_NAME21,GCC_NAME21,AREASQKM21,incentive_aud,charger_stations,total_plugs,ac_stations,dc_stations,has_dc_charger,max_power_kw,has_charging_data,nsw_comprehensive_data,median_income_weekly,median_age,apartment_ratio,total_dwellings,bev_count_lag1,adoption_rate_lag1,bev_growth_rate,plugs_per_1000_vehicles,fleet_density
0820,2025,22684,247.0,0.010888732146005995,701011006,Ludmilla - The Narrows,Northern Territory,Darwin City,Darwin,Greater Darwin,5.35,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1988.0,34,0.10537870472008781,911,163.0,0.007386930118734705,0.5153374233128835,0.0,4240.0
0822,2021,6423,0.0,0.0,702031057,Alligator,Northern Territory,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,33100.6653,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1279.0,47,0.028801071667782986,1493,0.0,0.0,0.0,0.0,0.19404443813399727
0822,2022,6289,3.0,0.0004770233741453331,702031057,Alligator,Northern Territory,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,33100.6653,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1279.0,47,0.028801071667782986,1493,0.0,0.0,0.0,0.0,0.18999618113415986
0822,2023,6433,0.0,0.0,702031057,Alligator,Northern Territory,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,33100.6653,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1279.0,47,0.028801071667782986,1493,3.0,0.0004770233741453331,-1.0,0.0,0.1943465468653284
0822,2024,6667,6.0,0.0008999550022498875,702031057,Alligator,Northern Territory,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,33100.6653,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1279.0,47,0.028801071667782986,1493,0.0,0.0,0.0,0.0,0.2014158911784773
0822,2025,6890,9.0,0.0013062409288824384,702031057,Alligator,Northern Territory,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,33100.6653,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1279.0,47,0.028801071667782986,1493,6.0,0.0008999550022498875,0.5,0.0,0.20815291588716195
0828,2021,3760,0.0,0.0,701021012,Berrimah,Northern Territory,Darwin Suburbs,Darwin,Greater Darwin,30.2554,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2250.0,33,0.0166270783847981,421,0.0,0.0,0.0,0.0,124.27533597308249
0828,2022,3954,3.0,0.0007587253414264037,701021012,Berrimah,Northern Territory,Darwin Suburbs,Darwin,Greater Darwin,30.2554,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2250.0,33,0.0166270783847981,421,0.0,0.0,0.0,0.0,130.68741447807665
0828,2023,4069,7.0,0.0017203244040304743,701021012,Berrimah,Northern Territory,Darwin Suburbs,Darwin,Greater Darwin,30.2554,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2250.0,33,0.0166270783847981,421,3.0,0.0007587253414264037,1.3333333333333333,0.0,134.48838884959378
0828,2024,4455,17.0,0.0038159371492704824,701021012,Berrimah,Northern Territory,Darwin Suburbs,Darwin,Greater Darwin,30.2554,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2250.0,33,0.0166270783847981,421,7.0,0.0017203244040304743,1.4285714285714286,0.0,147.24644195746873
0828,2025,4912,23.0,0.004682410423452769,701021012,Berrimah,Northern Territory,Darwin Suburbs,Darwin,Greater Darwin,30.2554,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2250.0,33,0.0166270783847981,421,17.0,0.0038159371492704824,0.35294117647058826,0.0,162.35118359036733
0829,2021,1515,0.0,0.0,701031031,Howard Springs,Northern Territory,Litchfield,Darwin,Greater Darwin,118.021,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2442.0,36,0.002717391304347826,1104,0.0,0.0,0.0,0.0,12.836698553647231
0829,2022,1619,0.0,0.0,701031031,Howard Springs,Northern Territory,Litchfield,Darwin,Greater Darwin,118.021,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2442.0,36,0.002717391304347826,1104,0.0,0.0,0.0,0.0,13.717897662280441
0829,2023,1784,3.0,0.0016816143497757848,701031031,Howard Springs,Northern Territory,Litchfield,Darwin,Greater Darwin,118.021,1500,0.0,0.0,0.0,0.0,0.0,0.0,1,0,2442.0,36,0.002717391304347826,1104,0.0,0.0,0.0,0.0,15.115953940400438
